mergeable,commits,additions,deletions,changed_files,open_issues_count,watchers_count,forks_count,has_discussions,has_wiki,has_projects,stargazers_count,title_size,merged,language
1,1,0,0,9,1,1,1,0,1,1,1,23,1,julia
1,1,0,2,1,0,0,0,0,1,1,0,41,1,ruby
1,1,1,0,1,2638,6836,6836,0,0,1,6836,47,1,php
1,1,1,1,1,1,0,0,0,1,1,0,40,0,dockerfile
1,1,1,1,1,1,1,1,0,1,1,1,35,0,python
1,1,1,1,1,1,5,5,0,1,1,5,37,1,c++
1,1,1,1,1,2,0,0,0,0,0,0,74,0,c#
1,1,1,1,1,2,0,0,0,1,1,0,36,0,javascript
1,1,1,1,1,2,2,2,0,0,0,2,54,1,svelte
1,1,1,1,1,3,1,1,0,1,1,1,33,0,javascript
1,1,1,1,1,3,2,2,0,1,1,2,40,0,python
1,1,1,1,1,3,33,33,0,1,1,33,16,1,lua
1,1,1,1,1,5,0,0,0,1,1,0,33,0,javascript
1,1,1,1,1,5,0,0,0,1,1,0,36,0,python
1,1,1,1,1,5,1,1,0,1,1,1,34,0,python
1,1,1,1,1,5,2,2,0,1,1,2,35,0,python
1,1,1,1,1,5,509,509,1,1,1,509,33,0,javascript
1,1,1,1,1,6,0,0,0,1,1,0,57,0,shell
1,1,1,1,1,9,0,0,0,1,1,0,31,0,python
1,1,1,1,1,10,0,0,0,1,1,0,57,0,go
1,1,1,1,1,10,1,1,0,1,1,1,31,0,python
1,1,1,1,1,12,1,1,0,0,1,1,31,0,python
1,1,1,1,1,12,8,8,0,0,1,8,49,1,python
1,1,1,1,1,12,112,112,1,0,0,112,73,0,svelte
1,1,1,1,1,14,4,4,0,1,1,4,54,0,kotlin
1,1,1,1,1,16,0,0,0,0,1,0,31,0,python
1,1,1,1,1,21,0,0,0,1,1,0,53,0,typescript
1,1,1,1,1,24,95,95,0,0,0,95,31,0,python
1,1,1,1,1,28,137,137,0,1,1,137,27,1,javascript
1,1,1,1,1,32,0,0,0,0,1,0,58,0,go
1,1,1,1,1,75,19,19,1,1,1,19,52,1,shell
1,1,1,1,1,135,1970,1970,1,0,1,1970,58,1,python
1,1,1,1,1,740,735,735,0,0,0,735,25,1,scala
1,1,1,5,1,2,0,0,0,1,1,0,1,1,html
1,1,2,0,1,0,1,1,0,1,1,1,64,1,kotlin
1,1,2,0,1,0,2,2,0,1,1,2,3,1,c
1,1,2,1,1,22,86,86,1,1,1,86,33,1,python
1,1,2,2,1,1,0,0,0,1,1,0,25,1,tex
1,1,2,2,1,7,13,13,1,0,0,13,46,0,python
1,1,2,2,1,9,4,4,0,1,1,4,32,1,python
1,1,2,2,1,9842,10806,10806,0,0,1,10806,22,1,nix
1,1,2,2,2,3,3,3,0,0,0,3,60,1,shell
1,1,2,3,1,0,0,0,0,1,1,0,37,1,javascript
1,1,2,3,2,0,0,0,0,1,1,0,19,1,ruby
1,1,3,2,1,0,0,0,0,1,1,0,28,1,kotlin
1,1,3,3,1,0,12,12,0,0,0,12,43,1,typescript
1,1,3,3,1,95,55,55,0,1,1,55,41,1,typescript
1,1,3,3,1,9841,10806,10806,0,0,1,10806,18,1,nix
1,1,3,11,2,2,0,0,0,0,1,0,40,1,go
1,1,4,4,2,1,1,1,0,1,1,1,53,0,html
1,1,5,0,1,16,89,89,1,1,1,89,23,1,c++
1,1,5,1,1,36,7,7,0,1,1,7,23,0,javascript
1,1,5,5,2,7,4,4,0,0,0,4,36,1,vue
1,1,5,5,2,11,0,0,0,1,1,0,44,0,typescript
1,1,5,5,2,240,918,918,1,0,1,918,52,0,typescript
1,1,6,6,1,0,1,1,0,1,0,1,7,1,go
1,1,6,6,1,3,4,4,0,1,1,4,66,0,svelte
1,1,6,6,1,5,8,8,1,0,1,8,47,1,typescript
1,1,7,0,1,12,0,0,0,1,1,0,25,1,typescript
1,1,7,7,2,87,676,676,0,0,1,676,42,1,shell
1,1,8,8,1,15,9,9,0,0,1,9,30,1,ruby
1,1,8,8,2,0,0,0,0,1,1,0,50,1,javascript
1,1,8,8,2,1,0,0,0,0,0,0,33,1,javascript
1,1,8,8,2,3,11,11,1,0,0,11,36,1,typescript
1,1,8,8,2,7,11,11,1,0,0,11,40,1,typescript
1,1,8,8,2,18,10,10,0,0,0,10,42,0,typescript
1,1,9,0,1,13,961,961,0,1,1,961,34,1,typescript
1,1,9,6,1,6,0,0,0,1,1,0,41,1,typescript
1,1,9,9,2,5,1,1,0,1,1,1,47,1,go
1,1,9,30,1,0,0,0,0,1,1,0,36,1,javascript
1,1,10,4,5,14,17,17,1,1,1,17,38,1,typescript
1,1,10,10,2,3,8,8,0,1,1,8,52,0,typescript
1,1,11,2,3,963,187,187,0,1,1,187,56,1,go
1,1,12,1,2,0,0,0,0,1,1,0,16,1,ruby
1,1,12,16,3,18,0,0,0,1,1,0,39,1,javascript
1,1,16,0,1,12,2,2,0,1,1,2,32,1,smarty
1,1,19,0,1,0,0,0,0,1,1,0,32,1,c++
1,1,20,20,2,20,6,6,0,0,0,6,81,0,ruby
1,1,25,25,2,6,0,0,0,1,1,0,40,0,javascript
1,1,28,14,8,0,2,2,0,1,1,2,70,1,ruby
1,1,30,0,1,160,12987,12987,1,0,1,12987,69,0,typescript
1,1,30,30,1,5,0,0,0,1,1,0,15,1,typescript
1,1,36,36,1,8,3,3,0,1,1,3,51,0,javascript
1,1,38,31,1,19,1,1,0,1,1,1,42,0,vue
1,1,43,51,2,42,51,51,0,1,1,51,52,0,typescript
1,1,51,0,1,0,0,0,0,1,1,0,3,1,html
1,1,58,87,1,2,0,0,0,1,1,0,50,1,html
1,1,62,61,2,8,35,35,1,1,1,35,47,0,php
1,1,70,11,10,2,1523,1523,1,1,0,1523,27,1,java
1,1,71,6,5,0,0,0,0,1,1,0,3,1,java
1,1,74,74,2,4,0,0,0,1,1,0,37,1,typescript
1,1,76,2,5,0,0,0,0,1,1,0,17,1,html
1,1,80,46,27,844,28251,28251,1,0,1,28251,33,1,python
1,1,103,0,1,0,0,0,0,1,1,0,26,1,php
1,1,122,14,6,0,0,0,0,1,1,0,14,1,java
1,1,123,123,2,17,5,5,0,1,1,5,31,0,typescript
1,1,124,37,9,4,8,8,0,0,0,8,38,1,swift
1,1,126,33,7,0,0,0,0,1,1,0,27,1,javascript
1,1,126,40,2,14,2,2,0,0,0,2,56,0,typescript
1,1,128,0,1,0,0,0,0,1,1,0,25,1,css
1,1,166,171,1,1,0,0,0,1,1,0,40,1,python
1,1,185,59,6,0,0,0,0,1,1,0,19,1,c#
1,1,263,118,2,14,104,104,0,1,1,104,53,0,javascript
